# timestamps [seconds],pts
329381.365563,1811785
329381.399073,1813981
329381.432584,1816178
329381.466094,1818374
329381.499604,1820570
329381.533115,1822766
329381.566625,1824962
329381.600136,1827158
329381.633646,1829354
329381.667156,1831550
329381.700667,1833746
329381.734177,1835942
329381.767688,1838139
329381.801198,1840335
329381.834708,1842531
329381.868219,1844727
329381.901729,1846923
329381.935240,1849119
329381.968750,1851315
329382.002260,1853511
329382.035771,1855707
329382.069281,1857904
329382.102792,1860100
329382.136302,1862296
329382.169812,1864492
329382.203323,1866688
329382.236833,1868884
329382.270344,1871080
329382.303854,1873276
329382.337364,1875472
329382.370875,1877668
329382.404385,1879865
329382.437896,1882061
329382.471406,1884257
329382.504916,1886453
329382.538427,1888649
329382.571937,1890845
329382.605448,1893041
329382.638958,1895237
329382.672468,1897433
329382.705979,1899630
329382.739489,1901826
329382.773000,1904022
329382.806510,1906218
329382.840020,1908414
329382.873531,1910610
329382.907041,1912806
329382.940552,1915002
329382.974062,1917198
329383.007572,1919394
329383.041083,1921591
329383.074593,1923787
329383.108104,1925983
329383.141614,1928179
329383.175124,1930375
329383.208635,1932571
329383.242145,1934767
329383.275656,1936963
329383.309166,1939159
329383.342676,1941355
329383.376187,1943552
329383.409697,1945748
329383.443208,1947944
329383.476718,1950140
329383.510228,1952336
329383.543739,1954532
329383.577249,1956728
329383.610760,1958924
329383.644270,1961120
329383.677780,1963316
329383.711291,1965513
329383.744801,1967709
329383.778312,1969905
329383.811822,1972101
329383.845332,1974297
329383.878843,1976493
329383.912353,1978689
329383.945864,1980885
329383.979374,1983081
329384.012884,1985278
329384.046395,1987474
329384.079905,1989670
329384.113416,1991866
329384.146926,1994062
329384.180436,1996258
329384.213947,1998454
329384.247457,2000650
329384.280968,2002846
329384.314478,2005042
329384.347988,2007239
329384.381499,2009435
329384.415009,2011631
329384.448520,2013827
329384.482030,2016023
329384.515540,2018219
329384.549051,2020415
329384.582561,2022611
329384.616072,2024807
329384.649582,2027004
329384.683092,2029200
329384.716603,2031396
329384.750113,2033592
329384.783624,2035788
329384.817134,2037984
329384.850644,2040180
329384.884155,2042376
329384.917665,2044572
329384.951176,2046769
329384.984686,2048965
329385.018196,2051161
329385.051707,2053357
329385.085217,2055553
329385.118728,2057749
329385.152238,2059945
329385.185748,2062141
329385.219259,2064337
329385.252769,2066533
329385.286280,2068730
329385.319790,2070926
329385.353300,2073122
329385.386811,2075318
329385.420321,2077514
329385.453832,2079710
329385.487342,2081906
329385.520852,2084102
329385.554363,2086298
329385.587873,2088494
329385.621384,2090691
329385.654894,2092887
329385.688404,2095083
329385.721915,2097279
329385.755425,2099475
329385.788936,2101671
329385.822446,2103867
329385.855956,2106063
329385.889467,2108259
329385.922977,2110455
329385.956488,2112652
329385.989998,2114848
329386.023508,2117044
329386.057019,2119240
329386.090529,2121436
329386.124040,2123632
329386.157550,2125828
329386.191060,2128024
329386.224571,2130220
329386.258081,2132417
329386.291592,2134613
329386.325102,2136809
329386.358612,2139005
329386.392123,2141201
329386.425633,2143397
329386.459144,2145593
329386.492654,2147789
329386.526164,2149985
329386.559675,2152181
329386.593185,2154378
329386.626696,2156574
329386.660206,2158770
329386.693716,2160966
329386.727227,2163162
329386.760737,2165358
329386.794248,2167554
329386.827758,2169750
329386.861268,2171946
329386.894779,2174143
329386.928289,2176339
329386.961800,2178535
329386.995310,2180731
329387.028820,2182927
329387.062331,2185123
329387.095841,2187319
329387.129352,2189515
329387.162862,2191711
329387.196372,2193907
329387.229883,2196104
329387.263393,2198300
329387.296904,2200496
329387.330414,2202692
329387.363924,2204888
329387.397435,2207084
329387.430945,2209280
329387.464456,2211476
329387.497966,2213672
329387.531476,2215868
329387.564987,2218065
329387.598497,2220261
329387.632008,2222457
329387.665518,2224653
329387.699028,2226849
329387.732539,2229045
329387.766049,2231241
329387.799560,2233437
329387.833070,2235633
329387.866580,2237830
329387.900091,2240026
329387.933601,2242222
329387.967112,2244418
329388.000622,2246614
329388.034132,2248810
329388.067643,2251006
329388.101153,2253202
329388.134664,2255398
329388.168174,2257594
329388.201684,2259791
329388.235195,2261987
329388.268705,2264183
329388.302216,2266379
329388.335726,2268575
329388.369236,2270771
329388.402747,2272967
329388.436257,2275163
329388.469768,2277359
329388.503278,2279556
329388.536788,2281752
329388.570299,2283948
329388.603809,2286144
329388.637320,2288340
329388.670830,2290536
329388.704340,2292732
329388.737851,2294928
329388.771361,2297124
329388.804872,2299320
329388.838382,2301517
329388.871892,2303713
329388.905403,2305909
329388.938913,2308105
329388.972424,2310301
329389.005934,2312497
329389.039444,2314693
329389.072955,2316889
329389.106465,2319085
329389.139976,2321282
329389.173486,2323478
329389.206996,2325674
329389.240507,2327870
329389.274017,2330066
329389.307528,2332262
329389.341038,2334458
329389.374548,2336654
329389.408059,2338850
329389.441569,2341046
329389.475080,2343243
329389.508590,2345439
329389.542100,2347635
329389.575611,2349831
329389.609121,2352027
329389.642632,2354223
329389.676142,2356419
329389.709652,2358615
329389.743163,2360811
329389.776673,2363007
329389.810184,2365204
329389.843694,2367400
329389.877204,2369596
329389.910715,2371792
329389.944225,2373988
329389.977736,2376184
329390.011246,2378380
329390.044756,2380576
329390.078267,2382772
329390.111777,2384968
329390.145288,2387165
329390.178798,2389361
329390.212308,2391557
329390.245819,2393753
329390.279329,2395949
329390.312840,2398145
329390.346350,2400341
329390.379860,2402537
329390.413371,2404733
329390.446881,2406930
329390.480392,2409126
329390.513902,2411322
329390.547412,2413518
329390.580923,2415714
329390.614433,2417910
329390.647944,2420106
329390.681454,2422302
329390.714964,2424498
329390.748475,2426694
329390.781985,2428891
329390.815496,2431087
329390.849006,2433283
329390.882516,2435479
329390.916027,2437675
329390.949537,2439871
329390.983048,2442067
329391.016558,2444263
329391.050068,2446459
329391.083579,2448656
329391.117089,2450852
329391.150600,2453048
329391.184110,2455244
329391.217620,2457440
329391.251131,2459636
329391.284641,2461832
329391.318152,2464028
329391.351662,2466224
329391.385172,2468420
329391.418683,2470617
329391.452193,2472813
329391.485704,2475009
329391.519214,2477205
329391.552724,2479401
329391.586235,2481597
329391.619745,2483793
329391.653256,2485989
329391.686766,2488185
329391.720276,2490381
329391.753787,2492578
329391.787297,2494774
329391.820808,2496970
329391.854318,2499166
329391.887828,2501362
329391.921339,2503558
329391.954849,2505754
329391.988360,2507950
329392.021870,2510146
329392.055380,2512343
329392.088891,2514539
329392.122401,2516735
329392.155912,2518931
329392.189422,2521127
329392.222932,2523323
329392.256443,2525519
329392.289953,2527715
329392.323464,2529911
329392.356974,2532107
329392.390484,2534304
329392.423995,2536500
329392.457505,2538696
329392.491016,2540892
